CASE_NUM,Pe1,Pe2,tau1,tau2,RAE
167,0.2903747636485859,43.735424304733364,0.41619317616372387,0.11127327487492017,0.12310243575363222
168,0.2877181836203722,43.71167005007174,1.0608203453079104,0.11296964085304505,0.128844267959211
169,0.2476815800314726,43.92512812888964,2.3611167667480024,0.11436119468676326,0.14535496470418127
170,0.21634473451270855,45.50945211762247,5.085706226620665,0.11408326627784914,0.15983770064882816
171,0.16511324533247224,54.26652546805213,10.756460200272027,0.10983718537919447,0.16811664380985494
172,0.1389835494954759,75.87594856088917,15.797716267597377,0.10551251219821697,0.16455967494898396
173,0.15953851928685756,114.95357829311074,20.31662689154778,0.10860465945664169,0.16312923253811557
174,0.1680904357314624,123.39141783952967,19.780244651839002,0.12235900219642526,0.18327880279860403
175,0.1703800064912878,114.22948739624286,17.691984482485022,0.1435298330338488,0.21921011049181996
176,0.1732686924057411,102.75072341170937,15.513985022275573,0.17423578365176218,0.2711328331862069
177,0.17962227286778015,92.31313002532075,13.427423133148608,0.2207518288812104,0.34853428056131475
178,0.19435153791398152,11.245593442166403,84.14931385241589,0.4703195458438398,0.29596956864694957
179,0.22355642306386295,8.560685266250212,77.75381330799544,0.6789611828923252,0.4287953228866649
180,0.2824726409709166,4.698079866259813,70.27576605885076,1.0801886018799465,0.7081526697615288
226,0.2911269915860612,36.46590945530951,8.43205740703818e-05,0.1215514730326138,87.24175912514679
